timestamp_derived,log_record_type,request_id,organization_id,user_id_token,url,package_id,package_version_id,managed_package_namespace,custom_entity,operation_type,operation_count,request_status,referrer_uri,session_key,login_key,user_agent,api_type,api_version,rows_processed,request_size,response_size,http_method,http_status_code,num_fields
2019-10-07T08:52:03.732Z,URI,TID:28146448000005643d,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,S,bpcommunity-lightning-force-com/lightning/r/-CustomObjectApiName/a143Y0000088bhVQAQ/view,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
2019-10-07T08:52:03.705Z,URI,TID:281666890000777df1,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,,bpcommunity-lightning-force-com/lightning/r/-CustomObjectApiName/a143Y0000088bhVQAQ/view,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
2019-10-07T08:52:20.566Z,URI,TID:2983956100003a0671,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,,bpcommunity-lightning-force-com/lightning/r/-CustomObjectApiName/a143Y0000088bhVQAQ/view,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
2019-10-07T08:52:04.149Z,URI,TID:2819583200007c799e,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,,bpcommunity-lightning-force-com/lightning/r/-CustomObjectApiName/a143Y0000088bhVQAQ/view,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
2019-10-07T08:52:03.537Z,URI,TID:28146646000018de17,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,F,bpcommunity-lightning-force-com/lightning/r/-CustomObjectApiName/a143Y0000088bhVQAQ/view,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
2019-10-07T08:52:03.342Z,URI,TID:281336210000e0f3a2,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,,bpcommunity-lightning-force-com/one/one-app-,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
2019-10-07T08:52:20.238Z,URI,TID:29816444000021e1d5,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,,bpcommunity-lightning-force-com/lightning/r/-CustomObjectApiName/a143Y0000088bhVQAQ/view,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
2019-10-07T08:52:20.429Z,URI,TID:29839653000057a831,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,,bpcommunity-lightning-force-com/lightning/r/-CustomObjectApiName/a143Y0000088bhVQAQ/view,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
2019-10-07T08:52:03.941Z,URI,TID:28193497000066d252,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,S,bpcommunity-lightning-force-com/lightning/r/-CustomObjectApiName/a143Y0000088bhVQAQ/view,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
2019-10-07T08:52:04.637Z,URI,TID:28262723000039a44d,00D000000DF1901,005-dZDgq76eWa4cl13s3AevOBFC8YEw28Iwu0/CMwmOU0k=,/aura,0331t000000XiTk,04t1t000003LcUT,innohub,Innovation_Idea,READ,1,,bpcommunity-lightning-force-com/lightning/r/-CustomObjectApiName/a143Y0000088bhVQAQ/view,eFs3U+6gXJiIKTeu,UWkJKQHvWkioUxN+,,,,,,,,,
